threshold,tp,fp,precision,recall
-0.283203125,84854,280012,0.2325620912883086,0.9697710830980926
-0.28515625,84859,280305,0.23238599642900176,0.9698282266083041
-0.287109375,84863,280584,0.23221698358448695,0.9698739414164733
-0.2890625,84865,280875,0.23203641931426697,0.9698967988205579
-0.291015625,84868,281185,0.23184620806276687,0.9699310849266849
-0.29296875,84869,281475,0.23166477409211014,0.9699425136287272
-0.294921875,84871,281745,0.23149835249961812,0.9699653710328118
-0.296875,84873,282030,0.23132272017399694,0.9699882284368965
-0.298828125,84875,282336,0.23113414358502332,0.9700110858409811
-0.30078125,84879,282605,0.2309733212874574,0.9700568006491502
-0.302734375,84881,282865,0.23081420328161284,0.9700796580532349
-0.3046875,84883,283139,0.23064653743526203,0.9701025154573195
-0.306640625,84886,283430,0.23047057418086642,0.9701368015634464
-0.30859375,84887,283726,0.2302875915933513,0.9701482302654888
-0.310546875,84888,284047,0.23008931112526596,0.9701596589675311
-0.3125,84889,284391,0.22987705805892547,0.9701710876695734
-0.314453125,84890,284694,0.229690679250184,0.9701825163716157
-0.31640625,84891,284983,0.2295132937162385,0.970193945073658
-0.318359375,84893,285293,0.2293252581134889,0.9702168024777426
-0.3203125,84895,285563,0.2291622802045036,0.9702396598818273
-0.322265625,84897,285857,0.2289847176294794,0.9702625172859118
-0.32421875,84898,286148,0.22880720988772282,0.9702739459879541
-0.326171875,84901,286436,0.22863598294810375,0.9703082320940811
-0.328125,84902,286735,0.22845410978992942,0.9703196607961234
-0.330078125,84905,287019,0.22828588636388078,0.9703539469022503
-0.33203125,84906,287269,0.22813461409283267,0.9703653756042926
-0.333984375,84909,287556,0.2279650436953808,0.9703996617104196
-0.3359375,84910,287850,0.2277873162356476,0.9704110904124619
-0.337890625,84913,288135,0.22761950204799383,0.9704453765185888
-0.33984375,84915,288425,0.2274468313065838,0.9704682339226735
-0.341796875,84916,288702,0.22728027022252675,0.9704796626247157
-0.34375,84919,288980,0.2271174835985119,0.9705139487308426
-0.345703125,84920,289284,0.22693504077989546,0.9705253774328849
-0.34765625,84921,289574,0.22676137198093432,0.9705368061349272
-0.349609375,84921,289859,0.2265889321735418,0.9705368061349272
-0.3515625,84924,290170,0.22640724725002265,0.9705710922410542
-0.353515625,84928,290476,0.22623094053339868,0.9706168070492234
-0.35546875,84931,290767,0.22606189013516176,0.9706510931553504
-0.357421875,84936,291067,0.22589181469296787,0.9707082366655619
-0.359375,84941,291356,0.2257286133027901,0.9707653801757734
-0.361328125,84942,291632,0.22556522755155692,0.9707768088778157
-0.36328125,84943,291951,0.2253763657686246,0.9707882375798581
-0.365234375,84944,292261,0.2251931973330152,0.9707996662819004
-0.3671875,84945,292576,0.2250073505844708,0.9708110949839427
-0.369140625,84948,292868,0.2248396044635484,0.9708453810900696
-0.37109375,84948,293153,0.2246701278229891,0.9708453810900696
-0.373046875,84953,293434,0.2245135271560598,0.9709025246002811
-0.375,84953,293742,0.22433092594304124,0.9709025246002811
-0.376953125,84954,294013,0.22417255328300353,0.9709139533023234
-0.37890625,84956,294315,0.22399814380746222,0.970936810706408
-0.380859375,84957,294594,0.22383553198384407,0.9709482394084504
-0.3828125,84957,294866,0.22367523820305774,0.9709482394084504
-0.384765625,84961,295129,0.22352863795416875,0.9709939542166196
-0.38671875,84966,295440,0.22335609848425103,0.9710510977268312
-0.388671875,84967,295739,0.22318271842314016,0.9710625264288735
-0.390625,84968,296050,0.22300258780425072,0.9710739551309158
-0.392578125,84969,296362,0.2228221676181585,0.9710853838329581
-0.39453125,84974,296678,0.22264785721023342,0.9711425273431696
-0.396484375,84974,296997,0.22246191464797066,0.9711425273431696
-0.3984375,84974,297307,0.22228151542974933,0.9711425273431696
-0.400390625,84975,297632,0.22209473428348148,0.9711539560452119
-0.40234375,84975,297919,0.22192826212998898,0.9711539560452119
-0.404296875,84979,298203,0.22177189951511292,0.9711996708533812
-0.40625,84980,298505,0.2215992802847569,0.9712110995554235
-0.408203125,84983,298830,0.22141772165090812,0.9712453856615504
-0.41015625,84985,299114,0.22125806107279633,0.9712682430656351
-0.412109375,84987,299420,0.22108598438634053,0.9712911004697197
-0.4140625,84988,299713,0.22091962329185524,0.971302529171762
-0.416015625,84988,300015,0.22074633184676484,0.971302529171762
-0.41796875,84990,300308,0.2205825101609663,0.9713253865758465
-0.419921875,84996,300632,0.22040930637816755,0.9713939587881004
-0.421875,85001,300964,0.22022981358413327,0.971451102298312
-0.423828125,85003,301262,0.22006394573673516,0.9714739597023966
-0.42578125,85006,301570,0.2198946649559207,0.9715082458085236
-0.427734375,85008,301848,0.21974067870215275,0.9715311032126082
-0.4296875,85009,302138,0.21957809307575676,0.9715425319146505
-0.431640625,85009,302444,0.2194046761800786,0.9715425319146505
-0.43359375,85012,302773,0.21922457031602563,0.9715768180207773
-0.435546875,85014,303092,0.21904840430191752,0.971599675424862
-0.4375,85015,303405,0.2188738993872612,0.9716111041269043
-0.439453125,85015,303719,0.21869710393225186,0.9716111041269043
-0.44140625,85017,304053,0.21851337805536278,0.9716339615309889
-0.443359375,85019,304358,0.218346230003313,0.9716568189350735
-0.4453125,85021,304694,0.2181619901723054,0.9716796763391582
-0.447265625,85021,305010,0.21798523707089948,0.9716796763391582
-0.44921875,85024,305300,0.21782929053811706,0.9717139624452851
-0.451171875,85024,305601,0.21766144,0.9717139624452851
-0.453125,85025,305923,0.21748416669224552,0.9717253911473274
-0.455078125,85028,306191,0.21734118230454041,0.9717596772534544
-0.45703125,85028,306483,0.21717908309089656,0.9717596772534544
-0.458984375,85031,306816,0.21700051295531164,0.9717939633595812
