geometry,stu_worlds,scenes,logs,placements,observed_scenes,observed_logs,observed_placements
d2e1e40b0b1f12f2dd547d9d7a1369c97c4b5608c54b83be67d54d9afc87651c,1,10,10,10,10,10,10
d44e9b3736f47273c118c6d7f74cff9c863ea7b8d835b2a8faf868841044b0f2,1,10,10,10,10,10,10
d4d4b0014803ed84257af1ced065edaf4eeb4c26205ec6c9e32d9cb7ab1472da,1,10,10,10,10,10,10
d63db273ecd80aaaf9ab89345b49ab55736c40aa4153500eb6d0d5f6969c72b3,1,10,10,10,10,10,10
d735420a644c162fab968edc43a59021baaca9530c041d9345f33e71807e680a,1,10,10,10,10,10,10
d756bbd8fb9da5e166e195b3f2903f21dc8b93e74601dea11397c9f784260d51,1,10,10,10,10,10,10
d79b68ff9ed4cb0ff2dd45b6d4abc0e6c3576dbcd52c0a46790fc78d210d70ff,1,10,10,10,10,10,10
d7eaeeaed85f8aca3590979cceb6707f80ddc185ab69c86f93229a6f64fd6cfa,1,10,10,10,10,10,10
d84d808812a7924ca9902df6eec8ac81f87508e3349291893ae204506178cd96,1,10,10,10,10,10,10
d9d7f521db0d59bfcf08a59571553988cb5566c509399de984da96828b464c21,1,10,10,10,10,10,10
dbc1a0e3221f609f61731e082d5acf6e9efbd9200ab091c7bcba8a5761c11b11,1,10,10,10,10,10,10
dc77f673c660b9cea862c22d2bff14a7a3655448fbbe57c0fad1f9dafe426260,1,10,10,10,10,10,10
ddaa42a321466ff09afe913f1fb0ce835a470d2b1ab84c764d60255caaab5c5d,1,10,10,10,10,10,10
ddbfb54ee27700e4a93d553572f6c81fbd560edf7650ef1350670bdf65bf994d,1,10,10,10,10,10,10
de646090b34d74c09a10e46fdcdefc70c8cb3192393da2f0a8b3ee7f208ea781,1,10,10,10,10,10,10
dee67d5b8faa618c5524b7c33de5c58ce9e156bf75b7ac16c79e576598712e44,1,10,10,10,10,10,10
e0975cc54a4a79b9d0d33e0c6dad238fd032245532ca1e1f9a48c8f2a09b5986,1,10,10,10,10,10,10
e108e945ee7eb1dd2b4c44dbee15c7c0ad907dbcb688e1c1dab632c85342a8fe,1,10,10,10,10,10,10
e16d6c32b00616c9a194b18877a8b17268872295f291209382255e7816e4db3d,1,9,9,9,9,9,9
e254db769de85df29b7fc2a636674854a22e177eda5ac1f54a67f66d464ec814,1,10,10,10,10,10,10
